Button A: X+55, Y+84
Prize: X=7859, Y=8447

Button A: X+14, Y+49
Button B: X+74, Y+31
Prize: X=10208, Y=6320

Button A: X+83, Y+36
Button B: X+26, Y+86
Prize: X=9239, Y=10284

Button A: X+76, Y+42
Button B: X+53, Y+88
Prize: X=8337, Y=9128

Button A: X+15, Y+59
Button B: X+31, Y+16
Prize: X=1591, Y=2974

Button A: X+29, Y+81
Button B: X+93, Y+68
Prize: X=6065, Y=7544

Button A: X+16, Y+51
Button B: X+75, Y+21
Prize: X=5791, Y=10292

Button A: X+89, Y+12
Button B: X+33, Y+47
Prize: X=4270, Y=2065

Button A: X+65, Y+16
Button B: X+15, Y+56
Prize: X=12245, Y=14688

Button A: X+20, Y+45
Button B: X+49, Y+16
Prize: X=7066, Y=6564

Button A: X+36, Y+72
Button B: X+50, Y+16
Prize: X=2030, Y=18560

Button A: X+87, Y+49
Button B: X+41, Y+80
Prize: X=7149, Y=8636

Button A: X+11, Y+44
Button B: X+69, Y+66
Prize: X=5966, Y=8954

Button A: X+47, Y+20
Button B: X+33, Y+53
Prize: X=6432, Y=19460

Button A: X+12, Y+46
Button B: X+75, Y+18
Prize: X=4688, Y=8220

Button A: X+96, Y+31
Button B: X+31, Y+96
Prize: X=5526, Y=5396

Button A: X+83, Y+17
Button B: X+46, Y+51
Prize: X=3319, Y=1054

Button A: X+11, Y+55
Button B: X+94, Y+11
Prize: X=8039, Y=1639

Button A: X+55, Y+21
Button B: X+16, Y+32
Prize: X=16098, Y=1206

Button A: X+33, Y+74
Button B: X+59, Y+15
Prize: X=10234, Y=677

Button A: X+20, Y+58
Button B: X+81, Y+30
Prize: X=5441, Y=3280

Button A: X+16, Y+21
Button B: X+93, Y+18
Prize: X=2051, Y=1131

Button A: X+16, Y+12
Button B: X+34, Y+99
Prize: X=1672, Y=2136

Button A: X+96, Y+25
Button B: X+39, Y+90
Prize: X=7710, Y=3445

Button A: X+22, Y+60
Button B: X+69, Y+35
Prize: X=18665, Y=10145

Button A: X+70, Y+75
Button B: X+50, Y+14
Prize: X=4650, Y=2687

Button A: X+35, Y+95
Button B: X+67, Y+48
Prize: X=4480, Y=7475

Button A: X+44, Y+44
Button B: X+13, Y+71
Prize: X=1005, Y=1759

Button A: X+34, Y+24
Button B: X+14, Y+85
Prize: X=958, Y=1803

Button A: X+66, Y+39
Button B: X+14, Y+47
Prize: X=1496, Y=17192

Button A: X+54, Y+16
Button B: X+24, Y+61
Prize: X=3444, Y=4631

Button A: X+88, Y+68
Button B: X+17, Y+53
Prize: X=4893, Y=4937

Button A: X+42, Y+14
Button B: X+33, Y+82
Prize: X=2604, Y=2856

Button A: X+67, Y+28
Button B: X+41, Y+64
Prize: X=2825, Y=4180

Button A: X+34, Y+57
Button B: X+84, Y+38
Prize: X=7174, Y=6783

Button A: X+25, Y+50
Button B: X+51, Y+13
Prize: X=942, Y=3646

Button A: X+83, Y+23
Button B: X+13, Y+62
Prize: X=17604, Y=15013

Button A: X+55, Y+19
Button B: X+29, Y+65
Prize: X=13715, Y=1295

Button A: X+11, Y+29
Button B: X+54, Y+35
Prize: X=4218, Y=3390

Button A: X+75, Y+43
Button B: X+19, Y+47
Prize: X=17673, Y=13249

Button A: X+74, Y+22
Button B: X+41, Y+68
Prize: X=8228, Y=7804

Button A: X+85, Y+94
Button B: X+90, Y+25
Prize: X=9855, Y=7172

Button A: X+82, Y+40
Button B: X+25, Y+72
Prize: X=1027, Y=800

Button A: X+99, Y+39
Button B: X+43, Y+74
Prize: X=9734, Y=7030

Button A: X+31, Y+54
Button B: X+43, Y+14
Prize: X=8147, Y=9886

Button A: X+85, Y+64
Button B: X+27, Y+98
Prize: X=9506, Y=11274

Button A: X+63, Y+26
Button B: X+14, Y+45
Prize: X=12716, Y=14865

Button A: X+36, Y+85
Button B: X+40, Y+28
Prize: X=2516, Y=3017

Button A: X+32, Y+83
Button B: X+91, Y+26
Prize: X=7654, Y=2630

Button A: X+94, Y+88
Button B: X+87, Y+13
Prize: X=6766, Y=2638

Button A: X+29, Y+81
Button B: X+91, Y+54
Prize: X=5961, Y=4239

Button A: X+67, Y+76
Button B: X+61, Y+17
Prize: X=5274, Y=2903

Button A: X+72, Y+14
Button B: X+15, Y+74
Prize: X=17021, Y=2074

Button A: X+28, Y+76
Button B: X+47, Y+13
Prize: X=2863, Y=5365

Button A: X+82, Y+45
Button B: X+47, Y+88
Prize: X=4179, Y=6088

Button A: X+17, Y+33
Button B: X+43, Y+17
Prize: X=6468, Y=13352

Button A: X+50, Y+24
Button B: X+15, Y+39
Prize: X=13565, Y=6269

Button A: X+52, Y+37
Button B: X+13, Y+78
Prize: X=3003, Y=8393

Button A: X+21, Y+64
Button B: X+63, Y+15
Prize: X=18638, Y=14477

Button A: X+13, Y+43
Button B: X+92, Y+70
Prize: X=5698, Y=5726

Button A: X+88, Y+80
Button B: X+12, Y+71
Prize: X=2008, Y=2186

Button A: X+74, Y+14
Button B: X+75, Y+79
Prize: X=7398, Y=6066

Button A: X+22, Y+72
Button B: X+74, Y+21
Prize: X=9094, Y=10004

Button A: X+15, Y+48
Button B: X+76, Y+29
Prize: X=5497, Y=363

Button A: X+62, Y+12
Button B: X+66, Y+89
Prize: X=7490, Y=5947

Button A: X+95, Y+42
Button B: X+50, Y+75
Prize: X=12610, Y=10071

Button A: X+85, Y+58
Button B: X+14, Y+90
Prize: X=7393, Y=12848

Button A: X+36, Y+84
Button B: X+94, Y+68
Prize: X=1948, Y=3032

Button A: X+15, Y+44
Button B: X+57, Y+24
Prize: X=4517, Y=17684

Button A: X+23, Y+70
Button B: X+46, Y+13
Prize: X=18546, Y=13578

Button A: X+58, Y+99
Button B: X+90, Y+24
Prize: X=5186, Y=7815

Button A: X+65, Y+14
Button B: X+22, Y+77
Prize: X=12752, Y=17595

Button A: X+83, Y+61
Button B: X+25, Y+69
Prize: X=5025, Y=5465

Button A: X+70, Y+36
Button B: X+17, Y+56
Prize: X=13187, Y=8320

Button A: X+42, Y+15
Button B: X+18, Y+52
Prize: X=5672, Y=15378

Button A: X+23, Y+49
Button B: X+39, Y+19
Prize: X=1960, Y=952

Button A: X+11, Y+47
Button B: X+37, Y+22
Prize: X=1131, Y=6717

Button A: X+59, Y+33
Button B: X+27, Y+54
Prize: X=7326, Y=12827

Button A: X+37, Y+12
Button B: X+31, Y+61
Prize: X=13132, Y=17507

Button A: X+12, Y+36
Button B: X+87, Y+17
Prize: X=4104, Y=2552

Button A: X+14, Y+54
Button B: X+61, Y+24
Prize: X=9176, Y=5150

Button A: X+14, Y+65
Button B: X+33, Y+13
Prize: X=758, Y=2678

Button A: X+51, Y+22
Button B: X+11, Y+28
Prize: X=2888, Y=3362

Button A: X+12, Y+38
Button B: X+77, Y+38
Prize: X=1968, Y=15852

Button A: X+75, Y+39
Button B: X+22, Y+56
Prize: X=11849, Y=4169

Button A: X+21, Y+56
Button B: X+70, Y+30
Prize: X=16272, Y=12592

Button A: X+14, Y+27
Button B: X+40, Y+11
Prize: X=13504, Y=10466

Button A: X+17, Y+98
Button B: X+70, Y+30
Prize: X=3163, Y=8522

Button A: X+16, Y+34
Button B: X+64, Y+44
Prize: X=4448, Y=5036

Button A: X+19, Y+43
Button B: X+55, Y+30
Prize: X=5638, Y=6241

Button A: X+27, Y+96
Button B: X+76, Y+14
Prize: X=3362, Y=2986

Button A: X+45, Y+33
Button B: X+14, Y+36
Prize: X=6040, Y=2366

Button A: X+33, Y+63
Button B: X+87, Y+44
Prize: X=10917, Y=9365

Button A: X+91, Y+20
Button B: X+59, Y+89
Prize: X=12062, Y=7289

Button A: X+17, Y+55
Button B: X+36, Y+18
Prize: X=4757, Y=14123

Button A: X+30, Y+78
Button B: X+27, Y+19
Prize: X=1182, Y=1742

Button A: X+69, Y+11
Button B: X+18, Y+72
Prize: X=13307, Y=2563

Button A: X+49, Y+17
Button B: X+14, Y+35
Prize: X=865, Y=18170

Button A: X+43, Y+78
Button B: X+77, Y+19
Prize: X=6683, Y=1986

Button A: X+38, Y+43
Button B: X+80, Y+20
Prize: X=6710, Y=3855

Button A: X+22, Y+73
Button B: X+75, Y+20
Prize: X=19243, Y=2562

Button A: X+63, Y+21
Button B: X+13, Y+28
Prize: X=7771, Y=18043

Button A: X+21, Y+59
Button B: X+53, Y+25
Prize: X=16739, Y=7557

Button A: X+38, Y+18
Button B: X+39, Y+98
Prize: X=5442, Y=6236

Button A: X+15, Y+39
Button B: X+36, Y+15
Prize: X=13094, Y=16196

Button A: X+53, Y+59
Button B: X+84, Y+13
Prize: X=3942, Y=2134

Button A: X+46, Y+11
Button B: X+63, Y+88
Prize: X=6045, Y=7645

Button A: X+20, Y+94
Button B: X+83, Y+32
Prize: X=8907, Y=9992

Button A: X+23, Y+62
Button B: X+69, Y+29
Prize: X=19443, Y=17585

Button A: X+42, Y+15
Button B: X+13, Y+32
Prize: X=17771, Y=3701

Button A: X+85, Y+25
Button B: X+14, Y+42
Prize: X=6657, Y=5481

Button A: X+11, Y+80
Button B: X+67, Y+14
Prize: X=2843, Y=8458

Button A: X+37, Y+57
Button B: X+32, Y+15
Prize: X=18786, Y=9479

Button A: X+40, Y+75
Button B: X+47, Y+25
Prize: X=6049, Y=5850

Button A: X+58, Y+13
Button B: X+28, Y+32
Prize: X=5880, Y=2244

Button A: X+51, Y+94
Button B: X+91, Y+33
Prize: X=7286, Y=7097

Button A: X+11, Y+52
Button B: X+81, Y+53
Prize: X=3310, Y=5750

Button A: X+72, Y+31
Button B: X+16, Y+52
Prize: X=12264, Y=8321

Button A: X+11, Y+88
Button B: X+85, Y+53
Prize: X=7938, Y=12090

Button A: X+19, Y+39
Button B: X+40, Y+23
Prize: X=15370, Y=3989

Button A: X+61, Y+34
Button B: X+32, Y+55
Prize: X=1925, Y=2671

Button A: X+71, Y+86
Button B: X+34, Y+11
Prize: X=3685, Y=2894
